FIP;County_Name;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016
48001;Anderson County;27789;29500;30700;30600;30900;32100;33500;34800;36500;38000;38381;40730;41873;44378;45215;46020;46495;46256;48084;48602;47914;47983;48060;48943;49628;51676;51809;52118;52121;52209;55068;54110;54365;55573;55573;56031;56381;56754;56709;57001;58485;58355;58010;57889;57742;57580;57580
48003;Andrews County;10372;11000;11100;10600;10800;11700;11900;12000;12400;12800;13323;14076;15142;15742;15752;16345;16509;15329;14968;14476;14284;14472;14448;14140;14185;14002;13910;13945;14047;13738;12911;12769;12887;12816;12794;12743;12868;13144;13662;14057;14835;15393;16121;16800;17457;18105;18105
48005;Angelina County;49349;51500;53100;54200;54600;55900;57400;58400;60400;62000;64172;65914;67879;68337;68314;68500;69088;68311;68777;69589;69976;70759;71902;73004;74054;74642;75366;76334;77290;77587;80245;79983;80263;80662;80926;81126;82097;82585;82841;83675;86917;87325;87623;87661;87875;88255;88255
48007;Aransas County;8902;9700;10400;10600;10800;11300;11700;12300;13200;14000;14260;14908;16105;16519;17259;17707;18128;17972;18060;17954;17879;18404;19090;19611;20737;21072;21741;22480;22819;23129;22537;22517;23007;23384;23748;24405;24388;24327;24549;24826;23200;23325;23688;24162;24933;25350;25350
48009;Archer County;5759;5700;5800;6100;6100;6300;6400;6500;6700;7000;7266;7537;7651;7954;8099;8041;8069;7980;8007;7963;7977;7751;7701;7823;7952;8144;8229;8213;8282;8256;8917;8797;8882;8936;8987;8962;8937;8894;8973;8912;9108;8836;8781;8754;8808;8715;8715
48011;Armstrong County;1895;1900;1700;1900;1700;1800;1900;1900;1900;1900;1994;2006;1967;2045;2022;2054;2197;2175;2108;2043;2020;1943;1945;2025;2071;2099;2142;2186;2156;2196;2166;2149;2071;2053;2094;2124;2093;2059;2084;2065;1899;1931;1945;1957;1948;1947;1947
48013;Atascosa County;18696;19200;20000;21100;21200;21700;22000;22800;23500;24500;25055;25595;26475;27586;28251;28746;29426;29912;30526;30502;30545;31138;31451;31870;32683;33748;34676;35344;36389;37442;38874;39874;40823;41306;42079;42458;43009;43594;43925;44633;44964;45473;46452;47077;47812;48435;48435
48015;Austin County;13831;14200;14100;14600;14700;15000;15200;15700;16200;17000;17726;18363;19408;20148;20588;20794;20812;20226;19638;19526;19909;20276;20812;21414;21754;22250;22624;22957;23401;23843;23745;24191;24580;25033;25518;25762;26139;26656;27032;27248;28379;28598;28560;28713;28994;29563;29563
48017;Bailey County;8487;8400;8700;8600;8500;8600;8300;8200;8000;8100;8168;8313;8138;8172;7899;7769;7823;7477;7376;7258;7035;6929;6791;6726;6686;6795;6780;6773;6846;6717;6583;6539;6448;6501;6557;6534;6422;6282;6289;6273;7154;7192;7136;7130;6960;7210;7210
48019;Bandera County;4747;4900;5200;5800;5700;6000;6000;6300;6500;6700;7084;7173;7559;8098;8551;9109;9377;9798;10118;10376;10622;10765;11085;11687;12543;13495;14273;14946;15816;16611;17811;18197;18731;19117;19294;19483;19821;20318;20501;20560;20551;20556;20616;20621;20916;21269;21269
48021;Bastrop County;17297;18500;19500;20400;20900;21200;21600;22200;22700;24100;24726;26437;28439;29667;32045;34545;37166;38076;38509;38496;38201;38573;39489;40567;42315;44353;46894;48834;50438;52561;58293;61278;63774;66149;67559;68769;70375;72184;73436;74876;74329;75147;74886;76032;78148;80527;80527
48023;Baylor County;5221;5200;5100;5200;5000;4900;4900;4800;4700;4800;4919;5035;5229;5240;5156;4858;4907;4739;4670;4462;4361;4260;4244;4215;4222;4216;4191;4155;4157;4088;4080;3940;3900;3931;3932;3854;3833;3860;3723;3677;3717;3711;3616;3607;3586;3618;3618
48025;Bee County;22737;24000;24600;24300;24400;24800;25000;24900;25100;25600;26030;26573;27262;27909;27633;26536;25920;26537;26290;25869;24962;25187;24580;25593;26110;27603;27702;27918;27739;27534;32251;31815;31972;32852;32635;32439;32378;32437;32325;32487;31886;32309;32440;32759;32911;32874;32874
48027;Bell County;124483;127600;140200;153600;156800;156700;160600;162800;166000;162500;157820;163335;167053;170366;174169;179511;181509;185489;186680;189222;191397;189390;190615;201537;216147;217870;220873;221643;223167;222687;239135;242573;248009;253903;255529;261709;266536;278342;285598;285787;312978;316120;323096;326654;329394;334941;334941
48029;Bexar County;830460;861600;876600;899600;913000;919300;935200;953100;967400;977100;988971;1016859;1046457;1071709;1094803;1122089;1153625;1177581;1178654;1181297;1187593;1205687;1229583;1252932;1269318;1291729;1309673;1336027;1354837;1372867;1397813;1414511;1439835;1462052;1487463;1511506;1550921;1588905;1621304;1651448;1722989;1755901;1789834;1823749;1860274;1897753;1897753
48031;Blanco County;3567;3800;3600;4200;4100;4300;4300;4400;4400;4600;4681;4680;4791;4898;4985;5376;5530;5688;5996;6033;5964;6260;6594;6777;6998;7458;7820;8224;8338;8511;8456;8634;8702;8732;8856;8947;8967;8991;9082;9198;10503;10558;10622;10635;10798;11004;11004
48033;Borden County;888;900;800;800;800;800;800;800;900;900;859;846;975;1011;932;846;849;815;804;820;795;757;721;766;746;783;765;764;766;769;715;676;681;660;664;630;624;586;599;595;643;628;613;638;654;648;648
48035;Bosque County;10966;11500;11800;11900;12000;12200;12500;12700;13000;13500;13401;13420;13779;14141;14304;14421;14626;14862;15075;15042;15122;15379;15556;15729;16101;16416;16655;16678;16548;16699;17235;17330;17416;17541;17716;17785;17797;17785;17604;17631;18258;18248;18114;17870;17734;17891;17891
48037;Bowie County;68909;68600;68700;68100;69100;71300;72300;73100;73700;74700;75301;76125;76898;78525;79188;80607;80657;80888;81498;81167;81842;81975;82361;82937;83406;83489;84065;83611;83287;83509;89247;89224;89190;89300;89652;89933;91091;91564;92655;93964;92675;92684;93006;93400;93298;93389;93389
48039;Brazoria County;108312;112500;115200;118700;123700;130200;136200;143200;152400;161300;169587;175391;179584;184144;186330;187971;188086;185844;185189;188099;192586;198493;202772;207090;211015;214311;218530;223309;228859;234303;243152;248355;255306;261132;267879;274045;283934;293106;301228;309208;314498;319375;324503;330340;338176;346312;346312
48041;Brazos County;57978;60000;64200;69200;74000;72900;76500;79800;86100;90600;93588;102388;112349;116543;118965;121901;123112;122254;121377;121125;121969;122841;125228;129243;130348;130839;130688;132220;132919;134213;152903;154218;156870;159516;161181;163617;167874;170562;174864;179992;195686;197505;200327;204286;209201;215037;215037
