XCoord;YCoord
-311897,721;-271072,457
-312566,832;-286960,458
-312368,238;-286948,279
-312169,597;-286936,896
-311970,912;-286926,309
-311772,186;-286916,519
-311573,422;-286907,524
-311374,624;-286899,326
-311175,795;-286891,925
-310976,938;-286885,321
-310778,055;-286879,513
-310579,151;-286874,503
-310380,229;-286870,289
-310181,291;-286866,873
-309982,342;-286864,253
-309783,383;-286862,431
-309584,418;-286861,406
-309385,452;-286861,179
-309186,485;-286861,748
-308987,523;-286863,115
-308788,568;-286865,279
-308589,623;-286868,241
-308390,691;-286871,999
-308191,776;-286876,555
-307992,881;-286881,907
-307794,009;-286888,057
-307595,163;-286895,003
-307396,347;-286902,746
-307197,563;-286911,286
-306998,816;-286920,622
-306800,107;-286930,754
-306601,440;-286941,683
-306402,819;-286953,407
-306204,246;-286965,927
-306005,725;-286979,243
-305807,259;-286993,354
-305608,851;-287008,261
-305410,505;-287023,962
-305212,223;-287040,458
-305014,008;-287057,748
-304815,865;-287075,832
-304617,795;-287094,710
-304419,803;-287114,382
-304221,891;-287134,847
-304024,063;-287156,104
-303826,322;-287178,154
-303628,670;-287200,997
-303431,112;-287224,631
-303233,650;-287249,057
-303036,287;-287274,273
-302839,027;-287300,280
-302641,873;-287327,078
-302444,828;-287354,665
-302247,894;-287383,042
-302051,077;-287412,207
-301854,377;-287442,161
-301657,799;-287472,903
-301461,346;-287504,432
-301265,021;-287536,748
-301068,827;-287569,850
-300872,767;-287603,739
-296833,393;-288308,386
-296636,572;-288343,126
-296439,891;-288378,652
-296243,354;-288414,964
-296046,964;-288452,062
-295850,723;-288489,944
-295654,636;-288528,611
-295458,704;-288568,061
-295262,932;-288608,293
-295067,322;-288649,308
-294871,878;-288691,105
-294676,602;-288733,682
-294481,499;-288777,040
-294286,570;-288821,177
-294091,819;-288866,093
-293897,249;-288911,788
-293702,863;-288958,259
-293508,665;-289005,507
-293314,657;-289053,532
-293120,842;-289102,331
-292927,225;-289151,904
-292733,806;-289202,251
-292540,591;-289253,371
-292347,582;-289305,263
-292154,781;-289357,926
-291962,193;-289411,359
-291769,819;-289465,561
-291577,664;-289520,533
-291385,730;-289576,271
-291194,021;-289632,777
-291002,539;-289690,048
-290811,287;-289748,084
-290620,269;-289806,885
-290429,488;-289866,448
-290238,946;-289926,773
-290048,646;-289987,860
-289858,593;-290049,707
-289668,788;-290112,313
-289479,235;-290175,677
-289289,936;-290239,799
-289100,896;-290304,676
-288912,116;-290370,309
-288723,601;-290436,696
-288535,352;-290503,836
-288347,373;-290571,727
-288159,667;-290640,370
-287972,236;-290709,762
-287785,085;-290779,903
-287598,215;-290850,792
-287411,631;-290922,427
-287225,334;-290994,807
-287039,328;-291067,931
-286853,616;-291141,799
-286668,200;-291216,408
-286483,085;-291291,757
-286298,271;-291367,846
-286113,764;-291444,673
-285929,565;-291522,237
-285745,678;-291600,537
-285562,105;-291679,571
-285378,849;-291759,338
-285195,914;-291839,837
-285013,302;-291921,067
-284831,016;-292003,026
-284649,059;-292085,713
-284467,435;-292169,127
-284286,145;-292253,265
-284105,193;-292338,128
-283924,581;-292423,714
-283744,313;-292510,021
-283564,392;-292597,048
-283384,820;-292684,793
-283205,600;-292773,255
-283026,735;-292862,433
-282848,227;-292952,326
-282670,081;-293042,931
-282492,298;-293134,247
-282314,882;-293226,274
-282137,835;-293319,009
-281961,160;-293412,450
-281784,860;-293506,598
-281608,938;-293601,449
-281433,396;-293697,003
-281258,238;-293793,257
-281083,466;-293890,211
-280909,082;-293987,863
-280735,091;-294086,211
-280561,494;-294185,254
-280388,294;-294284,990
-280215,495;-294385,417
-280043,098;-294486,535
-279871,106;-294588,340
-279699,523;-294690,833
-279528,352;-294794,010
-279357,593;-294897,871
-279187,252;-295002,414
-279017,329;-295107,636
-278847,829;-295213,537
-278678,753;-295320,115
-278510,105;-295427,368
-278341,887;-295535,294
-278174,101;-295643,891
-278006,751;-295753,158
-277839,839;-295863,094
-277673,368;-295973,695
-277507,340;-296084,962
-277341,759;-296196,891
-277176,626;-296309,481
-277011,944;-296422,730
-276847,716;-296536,636
-276683,945;-296651,199
-276520,634;-296766,414
-276357,784;-296882,282
-276195,398;-296998,800
-276033,480;-297115,966
-275872,031;-297233,778
-275711,055;-297352,234
-275550,553;-297471,334
-275390,529;-297591,073
-275230,984;-297711,452
-275071,922;-297832,467
-274913,345;-297954,117
-274755,256;-298076,400
-274597,656;-298199,314
-274440,550;-298322,857
-274283,938;-298447,027
-274127,824;-298571,822
-273972,210;-298697,239
-273817,098;-298823,278
-273662,492;-298949,936
-273508,393;-299077,211
-273354,804;-299205,101
-273201,727;-299333,604
-273049,166;-299462,718
-272897,121;-299592,440
-272745,597;-299722,770
-272594,594;-299853,704
-272444,117;-299985,240
-272294,166;-300117,377
-265648,249;-305997,408
-265499,318;-306129,705
-265350,916;-306262,595
-265203,044;-306396,075
-265055,706;-306530,143
-264908,902;-306664,797
-264762,637;-306800,034
-264616,911;-306935,854
-264471,728;-307072,253
-264327,089;-307209,229
-264182,997;-307346,780
-264039,454;-307484,905
-263896,462;-307623,600
-263754,025;-307762,863
-263612,143;-307902,694
-263470,820;-308043,088
-263330,057;-308184,044
-263189,856;-308325,560
-263050,221;-308467,633
-262911,153;-308610,262
-262772,654;-308753,444
-262634,726;-308897,176
-262497,373;-309041,456
-262360,595;-309186,283
-262224,395;-309331,653
-262088,776;-309477,565
-261953,739;-309624,016
-261819,287;-309771,004
-261685,421;-309918,527
-261552,144;-310066,581
-261419,458;-310215,165
-261287,365;-310364,277
-261155,867;-310513,914
-261024,967;-310664,074
-260894,665;-310814,754
-260764,965;-310965,952
-260635,869;-311117,665
-260507,378;-311269,892
-260379,494;-311422,629
-260252,220;-311575,875
-260125,558;-311729,626
-259999,509;-311883,881
-259874,075;-312038,637
-259749,260;-312193,891
-259625,063;-312349,641
-259501,489;-312505,885
-259378,537;-312662,621
-259256,212;-312819,844
-259134,513;-312977,554
-259013,444;-313135,747
-258893,006;-313294,422
-258773,201;-313453,575
-258654,031;-313613,204
-258535,498;-313773,307
-258417,604;-313933,880
-258300,351;-314094,922
-258183,740;-314256,430
-258067,774;-314418,401
-257952,454;-314580,833
-257837,781;-314743,723
-257723,759;-314907,069
-257610,388;-315070,868
-257497,671;-315235,117
-257385,610;-315399,813
-257274,205;-315564,955
-257163,459;-315730,540
-256732,340;-316377,926
-256540,391;-316426,145
-256348,635;-316475,128
-256157,076;-316524,873
-255965,716;-316575,380
-255774,559;-316626,647
-255583,607;-316678,674
-255392,863;-316731,460
-255202,331;-316785,004
-255012,014;-316839,306
-254821,913;-316894,364
-254632,034;-316950,178
-254442,377;-317006,747
-254252,948;-317064,069
-254063,747;-317122,144
-253874,780;-317180,972
-253686,047;-317240,550
-253497,553;-317300,879
-253309,301;-317361,957
-253121,293;-317423,783
-252933,532;-317486,356
-252746,022;-317549,676
-252558,765;-317613,741
-252371,764;-317678,550
-252185,023;-317744,102
-251998,544;-317810,397
-251812,330;-317877,433
-251626,384;-317945,209
-251440,709;-318013,723
-251255,308;-318082,976
-251070,183;-318152,966
-250885,339;-318223,691
-250700,778;-318295,151
-250516,502;-318367,344
-250332,514;-318440,270
-250148,819;-318513,927
-249965,417;-318588,314
-249782,313;-318663,430
-249599,509;-318739,273
-249417,008;-318815,843
-249234,814;-318893,138
-249052,928;-318971,157
-248871,353;-319049,899
-248690,094;-319129,362
-248509,152;-319209,546
-248328,530;-319290,449
-248148,231;-319372,069
-247968,259;-319454,406
-247788,615;-319537,458
-247609,303;-319621,224
-247430,326;-319705,702
-247251,686;-319790,892
-247073,386;-319876,791
-246895,429;-319963,399
-246717,819;-320050,714
-246540,557;-320138,734
-246363,646;-320227,459
-246165,283;-320211,398
-245966,857;-320196,129
-245768,372;-320181,653
-245569,831;-320167,968
-245371,237;-320155,077
-245172,593;-320142,978
-244973,903;-320131,672
-244775,168;-320121,159
-244576,394;-320111,440
-244377,582;-320102,514
-244178,736;-320094,382
-243979,859;-320087,043
-243780,955;-320080,499
-243582,026;-320074,749
-243383,075;-320069,792
-243184,107;-320065,630
-242985,123;-320062,262
-242786,128;-320059,688
-242587,123;-320057,909
-242388,114;-320056,924
-242189,102;-320056,734
-241990,090;-320057,338
-241791,083;-320058,736
-241592,083;-320060,929
-241393,093;-320063,915
-241194,117;-320067,697
-240995,158;-320072,272
-240796,218;-320077,642
-240597,301;-320083,805
-240398,411;-320090,763
-240199,550;-320098,514
-240000,721;-320107,059
-239801,928;-320116,398
-239603,174;-320126,530
-239404,462;-320137,456
-239205,796;-320149,174
-239007,177;-320161,686
-238808,610;-320174,990
-238610,098;-320189,087
-238411,644;-320203,976
-238213,250;-320219,657
-238014,921;-320236,129
-237816,659;-320253,394
-237618,468;-320271,449
-237420,350;-320290,296
-237222,309;-320309,933
-237024,348;-320330,361
-236826,470;-320351,578
-236628,679;-320373,586
-236430,977;-320396,382
-236233,367;-320419,968
-236035,853;-320444,342
-235838,438;-320469,505
-235641,125;-320495,455
-235443,917;-320522,192
-235246,818;-320549,717
-235049,830;-320578,028
-234852,956;-320607,125
-234656,201;-320637,008
-234459,566;-320667,676
-234263,055;-320699,129
-234066,671;-320731,366
-233870,417;-320764,386
-233674,297;-320798,190
-233478,313;-320832,776
-233282,469;-320868,144
-233086,768;-320904,294
-232891,212;-320941,224
-232695,806;-320978,935
-232500,551;-321017,425
-232305,452;-321056,695
-232110,511;-321096,743
-231915,731;-321137,569
-231721,116;-321179,172
-231526,669;-321221,551
-231332,392;-321264,707
-231138,289;-321308,637
-230944,363;-321353,342
-230750,617;-321398,821
