fips;areaname;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014
40001;Adair County;15141;15500;16300;16700;16800;17100;17300;17700;18200;18700;18575;18258;18437;18845;18369;18357;18557;18815;18771;18516;18435;18796;19091;19355;19616;19725;19932;20124;20404;20544;21050;21066;21179;21285;21371;21599;21858;21938;21857;21857;22720;22513;22248;22235;22186
40003;Alfalfa County;7224;7200;7100;7000;7000;7200;7200;7200;7300;7200;7077;7235;7380;7519;7324;7197;7222;6979;6637;6575;6377;6332;6266;6220;6176;6134;6124;6055;6025;5887;6080;5926;5886;5800;5748;5656;5584;5571;5565;5481;5628;5637;5643;5817;5790
40005;Atoka County;10972;11200;11400;11600;11900;12100;12100;12300;12300;12600;12748;12713;12811;13548;13674;13599;13317;13175;12979;12881;12760;12797;13045;13078;13097;13253;13215;13367;13302;13379;13840;13896;13987;14155;14290;14288;14308;14453;14573;14498;14151;14100;13960;13785;13796
40007;Beaver County;6282;6300;6100;5900;5800;5900;5900;6000;6300;6500;6806;6955;7129;7164;7093;6971;6890;6577;6353;6204;5983;5970;5870;5854;5882;5908;5922;5931;6045;6016;5792;5641;5564;5519;5452;5403;5313;5325;5242;5270;5648;5640;5592;5540;5486
40009;Beckham County;15754;15800;15500;15600;15900;16100;15900;16400;17100;18300;19243;21010;25027;26383;23502;22160;21114;19551;19290;19001;18786;18865;18823;18780;19068;19304;19366;19337;19949;19799;19744;19778;19849;19205;18164;18630;19315;20787;21494;21116;22035;22312;23117;23548;23691
40011;Blaine County;11794;12200;12200;12200;12300;12500;12800;12900;13000;13400;13443;14215;14968;14653;14026;13558;13116;12641;12185;11824;11409;11433;11152;11003;10951;10908;10702;10630;10420;10284;11957;12022;11628;11188;12702;12748;12493;12607;12668;12609;9903;9702;9819;9819;9917
40013;Bryan County;25552;26200;26400;26700;27300;27600;28200;28800;29200;30100;30535;30474;30527;31411;32008;32201;32468;32877;32273;31933;32109;32171;32463;33084;33214;33649;33808;34280;34717;34941;36597;36462;36768;36872;37367;37658;38956;39474;40463;40783;42647;43163;43462;44217;44486
40015;Caddo County;28931;29700;30100;30300;30700;31000;31500;31700;32000;30900;30905;31803;33479;34592;33475;32664;31966;31438;30897;30106;29432;29125;29783;29899;30150;30571;30696;30856;30881;30664;30098;29874;29828;29925;29903;29689;29637;28479;29329;30393;29671;29608;29672;29487;29317
40017;Canadian County;32245;33800;36500;39800;42400;43700;45200;47300;50100;54800;56452;60110;64245;67279;69888;71931;73234;73251;72898;73637;74669;75902;77115;78736;79997;81350;83157;84362;85424;86498;88144;89521;90699;92230;94501;97147;100421;103948;106755;109668;116348;119487;122605;126136;129582
40019;Carter County;37349;38700;39200;39800;40800;41700;42300;42900;43000;42800;43610;44184;46062;46816;46824;46907;46770;45549;44020;43242;42877;42711;43090;43494;43651;43969;44084;44311;44358;44533;45591;45595;45887;46150;46604;46632;46980;47287;47716;48326;47778;48074;48114;48655;48821
